Document ID,Total Links,Link,Download Path,Status,Code
Document ID,Total Links,Link,Download Path,Status,Code
FTC-2022-0053-0095,10,6,downloads/FTC-2022-0053-0095_7.pdf,Success,
FTC-2022-0053-0095,10,7,downloads/FTC-2022-0053-0095_8.pdf,Success,
FTC-2022-0053-0095,10,8,downloads/FTC-2022-0053-0095_9.pdf,Success,
FTC-2022-0053-0095,10,9,downloads/FTC-2022-0053-0095_10.jpg,Success,
FTC-2022-0053-0096,0,9,downloads/FTC-2022-0053-0095_10.jpg,Skipped,200
FTC-2022-0053-0097,0,9,downloads/FTC-2022-0053-0095_10.jpg,Skipped,200
FTC-2022-0053-0098,0,9,downloads/FTC-2022-0053-0095_10.jpg,Skipped,200
FTC-2022-0053-0099,0,9,downloads/FTC-2022-0053-0095_10.jpg,Skipped,200
FTC-2022-0053-0100,0,9,downloads/FTC-2022-0053-0095_10.jpg,Skipped,200
FTC-2022-0053-0101,1,0,downloads/FTC-2022-0053-0101_1.pdf,Success,
FTC-2022-0053-0102,1,0,downloads/FTC-2022-0053-0102_1.pdf,Success,
FTC-2022-0053-0103,0,0,downloads/FTC-2022-0053-0102_1.pdf,Skipped,200
FTC-2022-0053-0104,0,0,downloads/FTC-2022-0053-0102_1.pdf,Skipped,200
FTC-2022-0053-0105,1,0,downloads/FTC-2022-0053-0105_1.pdf,Success,
FTC-2022-0053-0106,0,0,downloads/FTC-2022-0053-0105_1.pdf,Skipped,200
FTC-2022-0053-0107,0,0,downloads/FTC-2022-0053-0105_1.pdf,Skipped,200
FTC-2022-0053-0108,1,0,downloads/FTC-2022-0053-0108_1.docx,Success,
FTC-2022-0053-0109,0,0,downloads/FTC-2022-0053-0108_1.docx,Skipped,200
FTC-2022-0053-0110,0,0,downloads/FTC-2022-0053-0108_1.docx,Skipped,200
FTC-2022-0053-0111,0,0,downloads/FTC-2022-0053-0108_1.docx,Skipped,200
FTC-2022-0053-0112,1,0,downloads/FTC-2022-0053-0112_1.pdf,Success,
FTC-2022-0053-0113,0,0,downloads/FTC-2022-0053-0112_1.pdf,Skipped,200
FTC-2022-0053-0114,0,0,downloads/FTC-2022-0053-0112_1.pdf,Skipped,200
FTC-2022-0053-0115,1,0,downloads/FTC-2022-0053-0115_1.pdf,Success,
FTC-2022-0053-0116,0,0,downloads/FTC-2022-0053-0115_1.pdf,Skipped,200
FTC-2022-0053-0117,1,0,downloads/FTC-2022-0053-0117_1.pdf,Success,
FTC-2022-0053-0118,1,0,downloads/FTC-2022-0053-0118_1.pdf,Success,
FTC-2022-0053-0119,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0120,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0121,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0122,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0123,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0124,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0125,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0126,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0127,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0128,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0129,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0130,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0131,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0132,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0133,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0134,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0135,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0136,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0137,0,0,downloads/FTC-2022-0053-0118_1.pdf,Skipped,200
FTC-2022-0053-0138,2,0,downloads/FTC-2022-0053-0138_1.docx,Success,
FTC-2022-0053-0138,2,1,downloads/FTC-2022-0053-0138_2.pdf,Success,
